row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id,mean_rpkm,mean_DFC_rpkm,mean_VFC_rpkm,mean_HIP_rpkm,mean_MFC_rpkm,mean_V1C_rpkm,mean_A1C_rpkm,mean_AMY_rpkm,mean_STC_rpkm,mean_IPC_rpkm,mean_OFC_rpkm,mean_STR_rpkm,mean_ITC_rpkm,mean_S1C_rpkm,mean_M1C_rpkm,mean_CBC_rpkm,mean_MD_rpkm,mean_M1C-S1C_rpkm,mean_DTH_rpkm,mean_CB_rpkm,mean_PCx_rpkm,mean_LGE_rpkm,mean_CGE_rpkm,mean_URL_rpkm,mean_MGE_rpkm,mean_Ocx_rpkm,mean_TCx_rpkm
1,7062,ENSG00000000003,TSPAN6,7105,12.179067789029535,11.323420529411765,10.218796937499999,21.779880466666665,13.926814999999998,6.598798533333333,7.567006285714285,18.833768214285715,8.12953157142857,6.280231428571428,12.885565,10.016980857142856,7.65485923076923,6.9853118,8.1853877,22.64846025,12.066186250000001,14.357150999999998,12.995023799999998,15.635513333333334,21.861452999999997,21.204963499999998,28.367379999999997,14.332513,23.837952,27.829109,16.403097
3,8736,ENSG00000000419,DPM1,8813,13.107014164556963,13.525361352941177,12.664193874999999,15.748410200000002,14.317217400000002,10.90044866666667,11.529546714285715,14.978282785714288,12.359752,11.47908592857143,14.43414757142857,13.02029407142857,12.270332692307692,11.462613399999999,10.937842300000002,13.134373875,9.9515235,14.337331,12.5396938,11.727515000000002,19.373486,16.0103805,19.177155,9.7817375,17.831547999999998,25.7539645,16.467168
10,4769,ENSG00000001167,NFYA,4800,26.080859223628693,29.211093294117646,27.207573187499996,22.216883,28.567607533333334,29.52672593333333,25.15425114285714,22.495508357142857,25.181755857142857,31.413432785714292,30.87567292857143,24.23491764285714,28.56272361538461,37.23344060000001,38.7642353,9.897540750000001,6.49076175,17.4206194,14.902969000000002,13.063317333333336,33.23937,25.51021,28.371039,14.564656,25.400356000000002,27.7901655,40.650017
17,33758,ENSG00000001629,ANKIB1,54467,11.331347000000001,10.860453058823529,11.017277499999999,11.685752066666668,11.481274666666668,10.155157466666669,11.631884642857145,11.783770785714285,10.493602857142859,11.810473714285715,11.199553285714288,11.932310785714284,11.785427692307694,11.5958239,12.025154500000001,12.965459625,14.233167625,9.4740536,12.5161762,13.604673666666665,7.139552,9.0205405,7.130190000000001,9.649905,8.733168,6.1977115000000005,7.353323
18,1583,ENSG00000001630,CYP51A1,1595,28.837428337552748,30.72957952941177,29.736148749999998,28.529952133333328,32.64365686666667,23.88222246666667,27.94779121428572,26.595270857142857,24.86383771428572,30.962563928571427,29.780487285714287,25.12819707142857,24.204055538461542,28.820732100000004,28.294635700000004,21.68668475,36.490284625,41.2585328,41.5074756,22.042145333333334,38.4203115,29.030507,31.0873195,22.7971,30.335191000000002,37.720656,36.596936
22,569,ENSG00000002330,BAD,572,23.856129071729956,25.74189864705883,26.7020638125,23.0049794,24.2439602,23.659278466666667,21.925568357142858,21.80126407142857,25.78328657142858,21.66822828571429,22.568311857142856,26.91611092857143,20.349323000000005,22.9599411,21.9101377,24.353729125,37.38444725000001,25.1168598,29.5041524,22.486480333333333,14.3093685,15.936493500000001,19.791916999999998,17.299251499999997,15.911452,15.895415,10.155545
30,3902,ENSG00000002834,LASP1,3927,74.30687400000001,69.51578952941176,75.357387125,73.98767786666666,68.51503693333333,70.3258134,73.34768378571428,82.88420485714286,78.117344,76.67575007142857,70.58616271428573,86.75878307142857,80.05390492307694,75.66134339999999,72.428793,57.800308625,72.6002025,66.5271842,75.797337,74.19060266666666,72.22771700000001,73.235402,87.978654,82.9375095,71.6025285,62.563233,73.544881
37,54847,ENSG00000003249,DBNDD1,79007,25.37945708016878,23.483457588235293,30.3965185625,20.28144406666667,24.150203466666664,25.808919733333333,25.727862142857145,19.947919142857142,28.99352192857143,26.80101307142857,22.579101357142857,21.366763357142855,24.549663384615386,26.8707129,25.526329699999998,20.396702375,50.99509275,25.3475568,34.8466984,27.879213333333336,16.8186655,16.7797635,16.66009,31.4307715,18.713406999999997,12.893369,14.481749
43,10035,ENSG00000003756,RBM5,10181,10.928024105485232,10.98944911764706,11.345246812500001,9.996270466666667,11.647301799999997,12.633467066666666,10.663474357142858,11.1738845,12.330184714285716,10.50704242857143,10.238344642857143,12.182315357142858,10.82647623076923,9.9382671,10.1881265,15.792077250000002,8.017688249999999,12.344272,6.6848376,9.410374666666668,8.2771835,12.2231265,4.8231525,9.1557395,9.479617,7.949467499999999,8.428599
46,378,ENSG00000004059,ARF5,381,82.23816440084389,83.75998176470588,88.490663125,79.05721626666667,81.5613484,83.22753986666667,74.53047485714285,73.92911864285715,87.87160292857143,78.89554492857143,84.2830127142857,91.34656907142858,78.71865069230769,81.6952714,78.65455390000001,96.83391275,104.59496337499999,78.52635760000001,95.7325382,83.96052366666667,54.7359835,56.255639,55.7332875,76.82736550000001,55.34218,60.008466,41.740957
47,22853,ENSG00000004139,SARM1,23098,13.092696565400844,12.388194411764704,13.734163687499999,14.042177400000002,13.308015333333335,12.778487666666667,12.731207428571432,13.441151571428573,13.822651571428569,13.262203,12.034821857142859,13.391630785714284,13.104932230769233,13.1893878,12.885692,14.54694875,12.278873749999999,13.3024854,11.4742458,14.405128,10.934694499999999,12.0636935,13.178071,13.766108,12.7239105,10.544895499999999,9.878346
