SAMPLE	COHORT	MEAN_COVERAGE
REACH000750	PB	2.05
REACH000288	PB	7.92
REACH000095	PB	5.12
REACH000673	PB	7.75
REACH000367	PB	5.07
REACH000161	PB	3.36
REACH000285	PB	3.00
REACH000764	PB	1.20
REACH000671	PB	7.60
REACH000356	PB	7.88
REACH000290	PB	4.41
REACH000247	PB	1.92
REACH000769	PB	1.11
REACH000770	PB	4.83
REACH000700	PB	0.00
REACH000364	PB	1.09
REACH000220	PB	3.82
REACH000366	PB	0.82
REACH000616	PB	9.04
REACH000600	PB	5.34
REACH000098	PB	3.61
REACH000120	PB	3.96
REACH000194	PB	3.77
REACH000086	PB	2.70
REACH000286	PB	2.71
REACH000707	PB	3.53
2323-2-1	PB	0.02
REACH000747	PB	4.88
REACH000092	PB	4.89
REACH000099	PB	5.02
REACH000629	PB	8.51
5749-3-3	PB	1.05
4689-2-1	PB	0.57
REACH000753	PB	5.77
REACH000651	PB	5.75
REACH000065	PB	1.22
REACH000234	PB	7.19
REACH000708	PB	6.62
REACH000644	PB	0.49
REACH000183	PB	3.24
REACH000269	PB	1.17
REACH000525	PB	0.53
3538-2-1	PB	0.61
REACH000643	PB	2.08
REACH000291	PB	6.04
REACH_AN04	PB	1.90
REACH000526	PB	8.13
4465-3-3	PB	0.74
REACH000284	PB	3.43
REACH000672	PB	5.02
REACH000292	PB	9.00
REACH000066	PB	1.61
2602-2-1	PB	0.89
